Source	Target	Label
u65683	u65681	COLLABORATES
u97968	u97612	COLLABORATES
u86662	u86661	COLLABORATES
u97674	u97776	COLLABORATES
u98006	u97608	COLLABORATES
u78150	u76489	COLLABORATES
u88978	u88973	COLLABORATES
u89966	u89964	COLLABORATES
u99165	u99724	COLLABORATES
u98695	u97836	COLLABORATES
u1120	u966	COLLABORATES
u235	u228	COLLABORATES
u97562	u97913	COLLABORATES
u81400	u81399	COLLABORATES
u97674	u108601	COLLABORATES
u89950	u89949	COLLABORATES
u97558	u97640	COLLABORATES
u98007	u97552	COLLABORATES
u411	u410	COLLABORATES
u234	u227	COLLABORATES
u229	u225	COLLABORATES
u89963	u89968	COLLABORATES
u37221	u37220	COLLABORATES
u650	u649	COLLABORATES
u98726	u97774	COLLABORATES
u767	u766	COLLABORATES
u1441	u1440	COLLABORATES
u76922	u9434	COLLABORATES
u98265	u97557	COLLABORATES
u99165	u104104	COLLABORATES
u98358	u97639	COLLABORATES
u79198	u79196	COLLABORATES
u97555	u99724	COLLABORATES
u97913	u98152	COLLABORATES
u97671	u97560	COLLABORATES
u37379	u1115	COLLABORATES
u97554	u97553	COLLABORATES
u97868	u97776	COLLABORATES
u97674	u98417	COLLABORATES
u148	u147	COLLABORATES
u97638	u97673	COLLABORATES
u97558	u98726	COLLABORATES
u750	u749	COLLABORATES
u92152	u92151	COLLABORATES
u93520	u93519	COLLABORATES
u98151	u97641	COLLABORATES
u97562	u97638	COLLABORATES
u93615	u93612	COLLABORATES
u98726	u104104	COLLABORATES
u98725	u98358	COLLABORATES
u82407	u82404	COLLABORATES
u82405	u82404	COLLABORATES
u59015	u59012	COLLABORATES
u80271	u80270	COLLABORATES
u97611	u97776	COLLABORATES
u85264	u85259	COLLABORATES
u98358	u97553	COLLABORATES
u423	u422	COLLABORATES
u1556	u1555	COLLABORATES
u96499	u96498	COLLABORATES
u97562	u97563	COLLABORATES
u97558	u97638	COLLABORATES
u74620	u74619	COLLABORATES
u98007	u98125	COLLABORATES
u97674	u97563	COLLABORATES
u101210	u97611	COLLABORATES
u82550	u14	COLLABORATES
u93494	u93493	COLLABORATES
u98006	u143829	COLLABORATES
u76084	u76083	COLLABORATES
u74925	u74922	COLLABORATES
u97868	u97612	COLLABORATES
u99382	u98151	COLLABORATES
u97563	u101210	COLLABORATES
u61490	u61488	COLLABORATES
u872	u871	COLLABORATES
u96573	u96572	COLLABORATES
u97674	u143828	COLLABORATES
u74549	u74548	COLLABORATES
u104104	u97561	COLLABORATES
u97554	u98294	COLLABORATES
u97774	u97640	COLLABORATES
u623	u622	COLLABORATES
u517	u514	COLLABORATES
u97609	u97608	COLLABORATES
u2921	u41016	COLLABORATES
u2615	u2613	COLLABORATES
u1066	u1085	COLLABORATES
u97561	u98152	COLLABORATES
u85263	u85262	COLLABORATES
u73195	u73193	COLLABORATES
u65681	u65679	COLLABORATES
u80196	u80195	COLLABORATES
u98006	u101981	COLLABORATES
u97557	u98726	COLLABORATES
u749	u94344	COLLABORATES
u88128	u88126	COLLABORATES
u96885	u96884	COLLABORATES
u94341	u94339	COLLABORATES
u1195	u1194	COLLABORATES
u99165	u97563	COLLABORATES
u98294	u97612	COLLABORATES
u8378	u8377	COLLABORATES
u97064	u97063	COLLABORATES
u97674	u99382	COLLABORATES
u44057	u44056	COLLABORATES
u72164	u72163	COLLABORATES
u97563	u98725	COLLABORATES
u94350	u94343	COLLABORATES
