	Number	lat	long	country
Regent University	2	36.801329	-76.1922416	United States
University of Wales	2	51.4854318	-3.1813842	United Kingdom
United States Columbia University	1	40.8075355	-73.9625727	United States
Birmingham City University	3	52.4828098	-1.885094	United Kingdom
University of Houston	2	29.7199489	-95.3422334	United States
Dc 20036 Usa Georgetown University	1	38.9076089	-77.07225849999999	United States
Goetheuniversityersity Frankfurt	1	50.1270675	8.6677635	Germany
Austria Salzburg University	1	47.797324	13.04817	Austria
Germany Free University Berlin	1	52.4525264	13.2896787	Germany
Graduate Center of The City University	1	40.748449	-73.9834916	United States
University Hong Kong	1	22.2829989	114.1370848	Hong Kong
Tsinghua University	1	39.9996674	116.3264439	China
University Missouri St Louis	2	38.7092401	-90.30828	United States
University of Bath	1	51.3781162	-2.3272635	United Kingdom
Ludwig Maximilians University Munchen	1	48.150806	11.58043	Germany
Westernorth Carolina University	1	35.3089224	-83.18437809999999	United States
Brown University	32	41.8267718	-71.4025482	United States
Mount Allison University	1	45.8983184	-64.3731004	Canada
University of Louisville	2	38.2122761	-85.75850229999999	United States
Misericordia University	2	41.345197	-75.9707268	United States
University Essex	3	51.87772589999999	0.9472069000000001	United Kingdom
University Calif San Francisco	1	37.7631333	-122.4575489	United States
University St Thomas	1	44.941751	-93.19149089999999	United States
Ghent University	15	51.0465619	3.727918099999999	Belgium
University Turku	1	60.4562974	22.2851138	Finland
Norwegian Defence University College	4			
University of Delaware	5	39.6779504	-75.7506114	United States
North Georgia College And State University	2	34.5278618	-83.9844416	United States
West Texas A And M University	1	34.9829122	-101.9158947	United States
University De Deusto	1	43.2712452	-2.9385576	Spain
Georgia State University	3	33.753068	-84.38528190000001	United States
University of Oxford	11	51.7548164	-1.2543668	United Kingdom
University Fed Espirito Santo	2	-20.2773232	-40.3041868	Brazil
Samford University	1	33.4647494	-86.79363099999999	United States
European University Institute	20	43.803079	11.282959	Italy
Belgium Radboud University of Nijmegen	1			
State University of Rio De Janeiro	2	-22.9111127	-43.2359131	Brazil
Towson University	4	39.3925121	-76.61263919999999	United States
Klagenfurt University Fac Interdisciplinary Studies	1			
University Space Res Assoc	2	29.5875787	-95.1006227	United States
So Oregon University	1	42.1859996	-122.6959071	United States
University Northern British Columbia	1	53.8922014	-122.8133546	Canada
University of Gothenburg	4	57.6981719	11.971878	Sweden
Stirling University	1	56.1459171	-3.918879	United Kingdom
Ces University Coimbra	1	40.2087265	-8.422469699999999	Portugal
Alfarabi Kazakhstan National University	1	43.2252358	76.92191869999999	Kazakhstan
University Oklahoma	5	35.2058936	-97.4457137	United States
Gardnerwebb University	2	35.24756300000001	-81.670737	United States
University So Mississippi	3	31.3303296	-89.3356963	United States
Bocconi University	3	45.4485736	9.189945	Italy
University Oulu	1	65.0593177	25.4662935	Finland
Tokyo Womans Christian University	1	35.7098017	139.5913725	Japan
University Waterloo	2	43.4722854	-80.5448576	Canada
The University of Kansas	2	38.9543439	-95.2557961	United States
